file,masked_line_no,cntx_start,cntx_end,masked_line,prediction,whole_prediction,loss,generated_tokens,log_prob_scores,first_token_var,exact_match,num_generated_lines,log_seq_prob,normalized_seq_prob,generated_token_length,log_seq_prob_first_line,normalized_log_seq_prob_first_line,first_line_length,seq_prob_first_line_var,vul_label,mask_ast_complexity,pred_ast_complexity,first_line_pred_ast_complexity,mask_pred_ast_ratio,loss_to_pred_ratio,scaled_first_token_var,neg_exact_match,masked_line_token_length,length_ratio,lev_dist,lev_ratio,ast_dist,new_score
~/anvil/data/cve-targets/php_repo_ext_phar_phar.c,174,159,201,if (phar->signature) {,if (phar->signature) {,	if (phar->signature) {,0.0251845736056566,"[[743, 320, 759, 277, 405, 34140, 8, 314, 151643]]","[-0.05374329537153244, -0.005879251752048731, -0.017584728077054024, -4.851700214203447e-05, -0.00047541281674057245, -0.0986124724149704, -0.0171694103628397, -0.0014842457603663206, -0.032347965985536575]",7.066666603088379,True,0.0,-0.2273452995432308,-0.025260588838136755,9.0,-0.19499733355769422,-0.024374666694711777,8.0,0.001062596846624652,0,13,13,13,1.0,-1.0332274045462346,-1.0234855302925818,False,8,0.8888888888888888,0.0,1.0,0.0,1.0399956665202197
~/anvil/data/cve-targets/openssl_repo_ssl_statem_statem.c,454,444,456,return 0;,return 0;,"        return 0;
    s",0.5997270345687866,"[[286, 470, 220, 15, 280, 262, 274]]","[-0.015741609036922455, -0.4899803698062897, -0.0041762287728488445, -0.00450631370767951, -0.4069826900959015, -0.007803076878190041, -0.06579752266407013]",5.757638931274414,True,1.0,-0.9949878109619021,-0.1421411158517003,7.0,-0.929190288297832,-0.15486504804963866,6.0,0.043693834700422846,1,5,8,5,0.625,-3.8725783649810834,-1.0575338917256722,False,4,0.5714285714285714,0.0,1.0,0.0,0.8862338393949144
~/anvil/data/cve-targets/openssl_repo_crypto_pkcs7_pk7_doit.c,178,159,299,const char *propq;,if (p7 == NULL) {,"
    if (p7 == NULL) {
",0.6960115432739258,"[[198, 262, 421, 320, 79, 22, 621, 1770, 8, 341]]","[-0.3664263188838959, -0.0073958649300038815, -0.435957670211792, -0.14606590569019318, -0.1428392082452774, -0.0001245659514097497, -0.22533223032951355, -0.00014888131408952177, -0.18566063046455383, -0.004892164841294289]",7.361979961395264,False,2.0,-1.5148434408620233,-0.15148434408620232,10.0,-1.5148434408620233,-0.15148434408620232,10.0,0.022191371407924862,1,9,14,14,0.6428571428571429,-4.594610403289331,-1.0159571312198732,True,6,0.6,17.0,0.11428571428571432,14.0,2.0995012110321087
~/anvil/data/cve-targets/php_repo_ext_phar_phar.c,1300,1190,1319,"mydata->alias = alias ? estrndup(alias, alias_len) : estrndup(mydata->fname, fname_len);","mydata->alias = alias ? estrndup(alias, alias_len) : estrndup(mydata->fname, fname_len);","		mydata->alias = alias ? estrndup(alias, alias_len) : estrndup(mydata->fname, fname_len);",0.0710696578025817,"[[197, 13624, 691, 405, 14956, 284, 15534, 937, 29507, 303, 454, 79965, 11, 15534, 6043, 8, 549, 29507, 303, 454, 13941, 691, 405, 23993, 11, 22548, 6043, 1215, 151643]]","[-0.06895022839307785, -0.13927428424358368, -2.861018856492592e-06, -8.332382276421413e-05, -0.044457193464040756, -0.011996266432106495, -0.17455263435840607, -0.031047087162733078, -0.4102875590324402, -0.07899274677038193, -5.960462772236497e-07, -0.0010252702049911022, -0.00020811776630580425, -0.0017121669370681047, -0.0002461368858348578, -0.009217919781804085, -0.000773250067140907, -0.703410804271698, -0.01425335742533207, -4.768258077092469e-05, -0.10556932538747787, -2.2291887944447808e-05, -1.3232143828645349e-05, -4.8636207793606445e-05, -0.006401627790182829, -0.1466972529888153, -2.0503786799963564e-05, -0.042258989065885544, -0.06828006356954575]",6.390451431274414,True,0.0,-2.059851409493888,-0.0710293589480651,29.0,-1.991571345924342,-0.0711275480687265,28.0,0.022149852124270727,0,32,32,32,1.0,-0.9991861062595767,-1.040935020939558,False,27,0.9310344827586207,0.0,1.0,0.0,1.1953239657204042
~/anvil/data/cve-targets/libsndfile_repo_src_common.c,178,84,318,"log_putchar (psf, lead_char) ;","log_putchar (psf, lead_char) ;","							log_putchar (psf, lead_char) ;",0.0060337078757584,"[[1662, 6725, 57969, 320, 1690, 69, 11, 2990, 9232, 8, 2587, 151643]]","[-0.04000302404165268, -0.0006194579764269292, -2.7894584491150454e-05, -4.5060096454108134e-05, -5.960446742392378e-06, -4.887569048150908e-06, -0.00010394509445177391, -0.004861083813011646, -1.156323378381785e-05, -0.00025149996508844197, -0.05440565571188927, -0.09121337532997131]",12.186805725097656,True,0.0,-0.19155340786301167,-0.015962783988584306,12.0,-0.10034003253304036,-0.009121821139367305,11.0,0.0003335476725921393,0,11,11,11,1.0,-0.661458691589397,-1.1104768187269476,False,10,0.8333333333333334,0.0,1.0,0.0,0.6869598346697634
~/anvil/data/cve-targets/php_repo_ext_phar_phar.c,167,159,201,"pefree(phar->alias, phar->is_persistent);","pefree(phar->alias, phar->is_persistent);","		pefree(phar->alias, phar->is_persistent);",0.001241156598553,"[[197, 197, 375, 10593, 57807, 277, 405, 14956, 11, 1319, 277, 405, 285, 620, 13931, 1215, 151643]]","[-0.0009371418273076415, -0.009445265866816044, -0.003338004695251584, -1.2993727978027891e-05, -0.010447690263390541, -1.0132738680113107e-05, -9.536697689327411e-06, -0.0003687655262183398, -0.0001006075763143599, -0.0013098479248583317, -1.1801649634435307e-05, -4.589452510117553e-05, -8.582700684200972e-05, -2.002696055569686e-05, -4.6967357775429264e-05, -0.003960267174988985, -0.2314881980419159]",9.89670181274414,True,0.0,-0.26163896956131794,-0.015390527621253995,17.0,-0.030150771519402042,-0.0018844232199626276,16.0,1.0695567765388606e-05,0,17,17,17,1.0,-0.6586400472063886,-1.048684888174735,False,14,0.8235294117647058,0.0,1.0,0.0,0.987667906702202
~/anvil/data/cve-targets/sqlite3_repo_ext_misc_zipfile.c,223,218,234,struct ZipfileLFH {,struct ZipfileLFH {,"struct ZipfileLFH {
  u3",0.2217797189950943,"[[1235, 29232, 1192, 22609, 39, 341, 220, 575, 18]]","[-0.04701300337910652, -0.005137693602591753, -0.00026353701832704246, -0.0008534126682206988, -0.00011765264935093, -0.36698880791664124, -0.004884335212409496, -0.14047609269618988, -0.15739528834819794]",8.748089790344238,True,1.0,-0.7231298234910355,-0.08034775816567061,9.0,-0.4252584424466477,-0.06075120606380681,7.0,0.01587244408406585,0,4,5,4,0.8,-3.650622487431109,-1.0189998337993322,False,6,0.6666666666666666,0.0,1.0,0.0,0.9770806077121944
~/anvil/data/cve-targets/openssl_repo_crypto_evp_encode.c,151,139,193,if ((ctx->num + inl) < ctx->length) {,if (ctx->num != 0) {,"    if (ctx->num != 0) {
        i = ctx->length - ctx->num;
        if",0.2948657870292663,"[[262, 421, 320, 3773, 405, 2413, 961, 220, 15, 8, 341, 286, 600, 284, 5635, 405, 4129, 481, 5635, 405, 2413, 280, 286, 421]]","[-0.04065360128879547, -0.07185540348291397, -0.18050439655780792, -0.1686643362045288, -7.354942499659956e-05, -0.35907360911369324, -0.3573853373527527, -0.0023788507096469402, -0.0001770101225702092, -0.0469261072576046, -0.22627870738506317, -0.0016132686287164688, -0.34216153621673584, -6.294052582234144e-05, -0.08324515074491501, -6.8662193370983e-05, -0.015432819724082947, -0.004653457552194595, -0.001177690108306706, -5.376194530981593e-05, -0.00037746457383036613, -0.04344584420323372, -0.0004471732536330819, -0.0406254418194294]",8.886979103088379,False,2.0,-1.9873361203899549,-0.08280567168291479,24.0,-1.45558417752909,-0.12129868146075751,12.0,0.016779626307115308,1,25,29,16,0.8620689655172413,-2.430906778856134,-1.0225441883154252,True,15,0.625,20.0,0.5964912280701755,11.0,2.2106895590703988
~/anvil/data/cve-targets/lua_repo_ldebug.c,396,356,568,},},},0.2886989414691925,[[92]],[-0.2886989414691925],9.479860305786133,True,0.0,-0.2886989414691925,-0.2886989414691925,1.0,-0.2886989414691925,-0.2886989414691925,1.0,0.0,0,2,2,2,1.0,-1.0,-1.0378132487155256,False,1,1.0,0.0,1.0,0.0,0.8910286469968332
~/anvil/data/cve-targets/poppler_repo_poppler_Parser.cc,167,68,191,shift();,shift();,            shift();,0.0668898820877075,"[[310, 6407, 2129, 151643]]","[-0.0027270056307315826, -0.015447844751179218, -0.11947998404502869, -0.03542204201221466]",10.553646087646484,True,0.0,-0.17307687643915415,-0.04326921910978854,4.0,-0.1376548344269395,-0.04588494480897983,3.0,0.002735084858065837,1,8,8,8,1.0,-1.4577740556553298,-1.0660502874204647,False,2,0.5,0.0,1.0,0.0,0.8273872618547065
